name,item_group_name,parent_item_group,is_group
,Air Conditioning System,All Item Groups,0
,Axle,All Item Groups,0
,Brake System,All Item Groups,0
,Cooling System,All Item Groups,0
,Electrical System,All Item Groups,0
,Engine Components,All Item Groups,0
,Engine Cooling System,All Item Groups,0
,Engine Oil System,All Item Groups,0
,Engine Parts,All Item Groups,0
,Exhaust System,All Item Groups,0
,Fuel Supply System,All Item Groups,0
,Other Miscellaneous Parts,All Item Groups,0
,Sundry,All Item Groups,0
,Suspension & Steering System,All Item Groups,0
,Transmission System,All Item Groups,0
,Unclassified,All Item Groups,0
,Wiper System,All Item Groups,0
