name,item_code,item_name,item_group,stock_uom,description,is_stock_item,is_sales_item,is_purchase_item,disabled
,ASM-NISSAN-VEHICLES-YD25-ENGINE-PAD-KIT-DISC-BRAKE-PADS-FRONT,Nissan vehicles – YD25 engine - Pad Kit-disc (Brake pads front),Brake System,PCS,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Brake System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-YD25-ENGINE-SHOE-SET-REAR-BRAKE-SHOES,Nissan vehicles – YD25 engine - SHOE SET-REAR (Brake shoes),Brake System,PCS,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Brake System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BOOSTER-ASSY-MA-BRAKE-BOOSTER,Nissan vehicles – YD25 engine - BOOSTER ASSY MA (brake booster),Brake System,PCS,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Brake System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-YD25-ENGINE-ROTOR-DISC-BRAK-FRONT-ROTOR-DISCS,Nissan vehicles – YD25 engine - Rotor Disc Brak (Front Rotor Discs),Brake System,Set,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Brake System; Source item group: Auto Parts; Source unit: Set,1,1,1,0
,ASM-NISSAN-VEHICLES-YD25-ENGINE-DRUM-4X4-AND-HI-BRAKE-DRUM,Nissan vehicles – YD25 engine - DRUM 4X4 and hi (Brake drum),Brake System,PCS,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Brake System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BOLT-PIN-CALIPPER-BOLTS,Nissan vehicles – YD25 engine - BOLT-PIN (Calipper bolts),Brake System,Set,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Brake System; Source item group: Auto Parts; Source unit: Set,1,1,1,0
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CYL-ASSY-CLUTCH,Nissan vehicles – YD25 engine - CYL ASSY CLUTCH,Brake System,PCS,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Brake System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CYL-ASSY-CLUTCH-2,Nissan vehicles – YD25 engine - CYL ASSY-CLUTCH,Brake System,PCS,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Brake System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CALIPER-ASSY-BR-BRAKE-CALIPER,Nissan vehicles – YD25 engine - CALIPER ASSY-BR (Brake caliper),Brake System,PCS,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Brake System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CABLE-COMPL-P-HAND-BRAKE-CABLE-SHORT,"Nissan vehicles – YD25 engine - CABLE COMPL - P (Hand brake cable, short)",Brake System,PCS,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Brake System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
