name,item_code,item_name,item_group,stock_uom,description,is_stock_item,is_sales_item,is_purchase_item,disabled
,ASM-NISSAN-VEHICLES-YD25-ENGINE-DISC-SKIMMING,Nissan vehicles – YD25 engine - Disc skimming,Brake System,Set,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Brake System; Source item group: Auto Parts; Source unit: Set,0,1,0,0
,ASM-NISSAN-VEHICLES-YD25-ENGINE-DRUM-SKIMMING,Nissan vehicles – YD25 engine - Drum Skimming,Brake System,Set,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Brake System; Source item group: Auto Parts; Source unit: Set,0,1,0,0
,ASM-NISSAN-VEHICLES-YD25-ENGINE-LABOUR,Nissan vehicles – YD25 engine - Labour,Services,Hour,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Service; Source item group: Auto Parts; Source unit: Hour,0,1,0,0
,ASM-NISSAN-VEHICLES-YD25-ENGINE-WHEEL-ALIGNMENT,Nissan vehicles – YD25 engine - Wheel alignment,Services,Unit,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Service; Source item group: Auto Parts; Source unit: blank,0,1,0,0
,ASM-NISSAN-VEHICLES-YD25-ENGINE-WHEEL-BALANCING-PER-TYRE,Nissan vehicles – YD25 engine - Wheel balancing per tyre,Services,Unit,Vehicle applicability: Nissan vehicles – YD25 engine; System category: Service; Source item group: Auto Parts; Source unit: blank,0,1,0,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-DISC-SKIMMING,Nissan vehicles – KA24 engine - Disc skimming,Brake System,Set,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Brake System; Source item group: Auto Parts; Source unit: Set,0,1,0,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-DRUM-SKIMMING,Nissan vehicles – KA24 engine - Drum Skimming,Brake System,Set,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Brake System; Source item group: Auto Parts; Source unit: Set,0,1,0,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-LABOUR,Nissan vehicles – KA24 engine - Labour,Services,Hour,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Service; Source item group: Auto Parts; Source unit: Hour,0,1,0,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-WHEEL-ALIGNMENT,Nissan vehicles – KA24 engine - Wheel alignment,Services,Unit,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Service; Source item group: Auto Parts; Source unit: blank,0,1,0,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-WHEEL-BALANCING-PER-TYRE,Nissan vehicles – KA24 engine - Wheel balancing per tyre,Services,Unit,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Service; Source item group: Auto Parts; Source unit: blank,0,1,0,0
,ASM-NISSAN-PATROL-Y61-ZD30-ENGINE-SKIMMIMG-DISC,Nissan Patrol Y61 – ZD30 engine - Skimmimg Disc,Unclassified,PCS,Vehicle applicability: Nissan Patrol Y61 – ZD30 engine; System category: Unclassified; Source item group: Auto Parts; Source unit: Pc,0,1,0,0
,ASM-NISSAN-PATROL-Y61-ZD30-ENGINE-SKIMMING-DRUM,Nissan Patrol Y61 – ZD30 engine - Skimming drum,Unclassified,PCS,Vehicle applicability: Nissan Patrol Y61 – ZD30 engine; System category: Unclassified; Source item group: Auto Parts; Source unit: Pc,0,1,0,0
,ASM-NISSAN-PATROL-Y61-ZD30-ENGINE-CAMSHAFT-RE-GRINDING,Nissan Patrol Y61 – ZD30 engine - camshaft Re-grinding,Engine Components,PCS,Vehicle applicability: Nissan Patrol Y61 – ZD30 engine; System category: Engine Components; Source item group: Auto Parts; Source unit: Pc,0,1,0,0
,ASM-NISSAN-PATROL-Y61-ZD30-ENGINE-TRANSPORT-CHARGES-IN-CASE-OF-BREA,Nissan Patrol Y61 – ZD30 engine - Transport charges in case of Brea,Other Miscellaneous Parts,Kilometer,Vehicle applicability: Nissan Patrol Y61 – ZD30 engine; System category: Other Miscellaneous Parts; Source item group: Auto Parts; Source unit: KM,0,1,0,0
,ASM-FORD-VEHICLES-T6-SKIMMING-DISC,Ford vehicles – T6 - Skimming disc,Brake System,Lump Sum,Vehicle applicability: Ford vehicles – T6; System category: Brake System; Source item group: Auto Parts; Source unit: L/S,0,1,0,0
,ASM-FORD-VEHICLES-T6-SKIMMING-DRUM,Ford vehicles – T6 - Skimming drum,Brake System,Lump Sum,Vehicle applicability: Ford vehicles – T6; System category: Brake System; Source item group: Auto Parts; Source unit: L/S,0,1,0,0
,ASM-FORD-VEHICLES-T6-IDS-COMPUTER-DIAGNOSTIC,Ford vehicles – T6 - IDS - Computer diagnostic,Engine Parts,Lump Sum,Vehicle applicability: Ford vehicles – T6; System category: Engine Parts; Source item group: Auto Parts; Source unit: L/S,0,1,0,0
,ASM-FORD-VEHICLES-T6-SHAFT-RE-GRINDING,Ford vehicles – T6 - Shaft re-grinding,Engine Parts,Lump Sum,Vehicle applicability: Ford vehicles – T6; System category: Engine Parts; Source item group: Auto Parts; Source unit: L/S,0,1,0,0
,ASM-FORD-VEHICLES-T6-WHEEL-ALIGNMENT,Ford vehicles – T6 - Wheel alignment,Other Miscellaneous Parts,PCS,Vehicle applicability: Ford vehicles – T6; System category: Other Miscellaneous Parts; Source item group: Auto Parts; Source unit: PCS,0,1,0,0
,ASM-FORD-VEHICLES-T6-WHEEL-BALANCING,Ford vehicles – T6 - Wheel balancing,Other Miscellaneous Parts,PCS,Vehicle applicability: Ford vehicles – T6; System category: Other Miscellaneous Parts; Source item group: Auto Parts; Source unit: PCS,0,1,0,0
,ASM-NISSAN-VANS-DISC-SKIMMING,Nissan vans - Disc skimming,Brake System,Set,Vehicle applicability: Nissan vans; System category: Brake System; Source item group: Auto Parts; Source unit: Set,0,1,0,0
,ASM-NISSAN-VANS-DRUM-SKIMMING,Nissan vans - Drum Skimming,Brake System,Set,Vehicle applicability: Nissan vans; System category: Brake System; Source item group: Auto Parts; Source unit: Set,0,1,0,0
,ASM-NISSAN-VANS-LABOUR,Nissan vans - Labour,Services,Hour,Vehicle applicability: Nissan vans; System category: Service; Source item group: Auto Parts; Source unit: Hour,0,1,0,0
,ASM-NISSAN-VANS-WHEEL-ALIGNMENT,Nissan vans - Wheel alignment,Services,Unit,Vehicle applicability: Nissan vans; System category: Service; Source item group: Auto Parts; Source unit: blank,0,1,0,0
,ASM-NISSAN-VANS-WHEEL-BALANCING-PER-TYRE,Nissan vans - Wheel balancing per tyre,Services,Unit,Vehicle applicability: Nissan vans; System category: Service; Source item group: Auto Parts; Source unit: blank,0,1,0,0
