name,item_code,price_list,price_list_rate,uom,currency,selling,buying,note,reference
,ASM-NISSAN-VEHICLES-YD25-ENGINE-PAD-KIT-DISC-BRAKE-PADS-FRONT,Standard Selling,739947.00,PCS,UGX,1,0,Source VAT: 133191.00; source inclusive: 873138.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-SHOE-SET-REAR-BRAKE-SHOES,Standard Selling,696803.00,PCS,UGX,1,0,Source VAT: 125424.00; source inclusive: 822227.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BOOSTER-ASSY-MA-BRAKE-BOOSTER,Standard Selling,5998438.00,PCS,UGX,1,0,Source VAT: 1079719.00; source inclusive: 7078157.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-ROTOR-DISC-BRAK-FRONT-ROTOR-DISCS,Standard Selling,2096333.00,Set,UGX,1,0,Source VAT: 377340.00; source inclusive: 2473673.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-DISC-SKIMMING,Standard Selling,247419.00,Set,UGX,1,0,Source VAT: 44535.00; source inclusive: 291955.00; arithmetic delta: -1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-DRUM-4X4-AND-HI-BRAKE-DRUM,Standard Selling,2565527.00,PCS,UGX,1,0,Source VAT: 461795.00; source inclusive: 3027322.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-DRUM-SKIMMING,Standard Selling,247419.00,Set,UGX,1,0,Source VAT: 44535.00; source inclusive: 291955.00; arithmetic delta: -1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BOLT-PIN-CALIPPER-BOLTS,Standard Selling,223337.00,Set,UGX,1,0,Source VAT: 40201.00; source inclusive: 263537.00; arithmetic delta: 1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CYL-ASSY-CLUTCH,Standard Selling,421103.00,PCS,UGX,1,0,Source VAT: 75799.00; source inclusive: 496902.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CYL-ASSY-CLUTCH-2,Standard Selling,818545.00,PCS,UGX,1,0,Source VAT: 147338.00; source inclusive: 965883.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CALIPER-ASSY-BR-BRAKE-CALIPER,Standard Selling,2925148.00,PCS,UGX,1,0,Source VAT: 526527.00; source inclusive: 3451674.00; arithmetic delta: 1.00,docs/item details.csv
