source_row,vehicle_group,source_full_item_name,source_item_name,system_category,source_item_group,source_unit,normalized_uom,item_code,item_name,catalog_type,stock_item,source_exclusive,source_vat,source_inclusive,vat_arithmetic_delta,price_status,status,review_reason
2,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Pad Kit-disc (Brake pads front),Pad Kit-disc (Brake pads front),Brake System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-PAD-KIT-DISC-BRAKE-PADS-FRONT,Nissan vehicles – YD25 engine - Pad Kit-disc (Brake pads front),stock,1,739947.00,133191.00,873138.00,0.00,ready,ready,
3,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine SHOE SET-REAR (Brake shoes),SHOE SET-REAR (Brake shoes),Brake System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-SHOE-SET-REAR-BRAKE-SHOES,Nissan vehicles – YD25 engine - SHOE SET-REAR (Brake shoes),stock,1,696803.00,125424.00,822227.00,0.00,ready,ready,
4,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BOOSTER ASSY MA (brake booster),BOOSTER ASSY MA (brake booster),Brake System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-BOOSTER-ASSY-MA-BRAKE-BOOSTER,Nissan vehicles – YD25 engine - BOOSTER ASSY MA (brake booster),stock,1,5998438.00,1079719.00,7078157.00,0.00,ready,ready,
5,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Rotor Disc Brak (Front Rotor Discs),Rotor Disc Brak (Front Rotor Discs),Brake System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-ROTOR-DISC-BRAK-FRONT-ROTOR-DISCS,Nissan vehicles – YD25 engine - Rotor Disc Brak (Front Rotor Discs),stock,1,2096333.00,377340.00,2473673.00,0.00,ready,ready,
6,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Disc skimming,Disc skimming,Brake System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-DISC-SKIMMING,Nissan vehicles – YD25 engine - Disc skimming,service,0,247419.00,44535.00,291955.00,-1.00,ready,ready,
7,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine DRUM 4X4 and hi (Brake drum),DRUM 4X4 and hi (Brake drum),Brake System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-DRUM-4X4-AND-HI-BRAKE-DRUM,Nissan vehicles – YD25 engine - DRUM 4X4 and hi (Brake drum),stock,1,2565527.00,461795.00,3027322.00,0.00,ready,ready,
8,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Drum Skimming,Drum Skimming,Brake System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-DRUM-SKIMMING,Nissan vehicles – YD25 engine - Drum Skimming,service,0,247419.00,44535.00,291955.00,-1.00,ready,ready,
9,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BOLT-PIN (Calipper bolts),BOLT-PIN (Calipper bolts),Brake System,Auto Parts,Set,Set,ASM-NISSAN-VEHICLES-YD25-ENGINE-BOLT-PIN-CALIPPER-BOLTS,Nissan vehicles – YD25 engine - BOLT-PIN (Calipper bolts),stock,1,223337.00,40201.00,263537.00,1.00,ready,ready,
10,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CYL ASSY CLUTCH,CYL ASSY CLUTCH,Brake System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-CYL-ASSY-CLUTCH,Nissan vehicles – YD25 engine - CYL ASSY CLUTCH,stock,1,421103.00,75799.00,496902.00,0.00,ready,ready,
11,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CYL ASSY-CLUTCH,CYL ASSY-CLUTCH,Brake System,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-CYL-ASSY-CLUTCH-2,Nissan vehicles – YD25 engine - CYL ASSY-CLUTCH,stock,1,818545.00,147338.00,965883.00,0.00,ready,ready,
