vehicle_group,item_name,full_item_name,source_row,system_category,source_unit,exclusive_price,vat,inclusive_price,conflict_type,recommended_action
Nissan vehicles – YD25 engine,PUMP ASSY OIL D (Oil pump),Nissan vehicles – YD25 engine PUMP ASSY OIL D (Oil pump),56,Engine Components,PC,1231333.00,221640.00,1452973.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan vehicles – YD25 engine,PUMP ASSY OIL D (Oil pump),Nissan vehicles – YD25 engine PUMP ASSY OIL D (Oil pump),81,Engine Oil System,PC,1231333.00,221640.00,1452973.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan vehicles – YD25 engine,BOLT (Exhaust bolt),Nissan vehicles – YD25 engine BOLT (Exhaust bolt),92,Exhaust System,PC,8268.00,1488.00,9756.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan vehicles – YD25 engine,BOLT (Exhaust bolt),Nissan vehicles – YD25 engine BOLT (Exhaust bolt),94,Exhaust System,PC,49605.00,8929.00,58534.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan vehicles – KA24 engine,PUMP ASSY OIL D (Oil pump),Nissan vehicles – KA24 engine PUMP ASSY OIL D (Oil pump),339,Engine Components,PC,1043502.35,187830.42,1231332.78,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan vehicles – KA24 engine,PUMP ASSY OIL D (Oil pump),Nissan vehicles – KA24 engine PUMP ASSY OIL D (Oil pump),364,Engine Oil System,PC,1043502.35,187830.42,1231332.78,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan vehicles – KA24 engine,FILTER ASSY-OIL (Oil filter),Nissan vehicles – KA24 engine FILTER ASSY-OIL (Oil filter),362,Engine Oil System,PC,116319.14,20937.45,137256.59,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan vehicles – KA24 engine,FILTER ASSY-OIL (Oil filter),Nissan vehicles – KA24 engine FILTER ASSY-OIL (Oil filter),558,Service,PC,60102.81,10818.50,70921.31,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan vehicles – KA24 engine,BOLT (Exhaust bolt),Nissan vehicles – KA24 engine BOLT (Exhaust bolt),376,Exhaust System,PC,7006.42,1261.15,8267.57,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan vehicles – KA24 engine,BOLT (Exhaust bolt),Nissan vehicles – KA24 engine BOLT (Exhaust bolt),378,Exhaust System,PC,42038.47,7566.93,49605.40,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan Patrol Y61 – ZD30 engine,Slave cylinder,Nissan Patrol Y61 – ZD30 engine Slave cylinder,580,Unclassified,Pc,470134.00,84624.00,554759.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan Patrol Y61 – ZD30 engine,Slave cylinder,Nissan Patrol Y61 – ZD30 engine Slave cylinder,742,Transmission System,Pc,470134.00,84624.00,554759.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan Patrol Y61 – ZD30 engine,Pilot bearing,Nissan Patrol Y61 – ZD30 engine Pilot bearing,612,Engine Components,Pc,31291.00,5632.00,36923.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan Patrol Y61 – ZD30 engine,Pilot bearing,Nissan Patrol Y61 – ZD30 engine Pilot bearing,730,Transmission System,Pc,31291.00,5632.00,36923.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan Patrol Y61 – ZD30 engine,Injector pump,Nissan Patrol Y61 – ZD30 engine Injector pump,625,Engine Components,Pc,21871034.00,3936786.00,25807820.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan Patrol Y61 – ZD30 engine,Injector pump,Nissan Patrol Y61 – ZD30 engine Injector pump,688,Fuel Supply System,Pc,21871034.00,3936786.00,25807820.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan Patrol Y61 – ZD30 engine,Nozzle,Nissan Patrol Y61 – ZD30 engine Nozzle,626,Engine Components,Pc,8389493.00,1510109.00,9899602.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan Patrol Y61 – ZD30 engine,Nozzle,Nissan Patrol Y61 – ZD30 engine Nozzle,691,Fuel Supply System,Pc,8389493.00,1510109.00,9899602.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan Patrol Y61 – ZD30 engine,Fuel tank cover,Nissan Patrol Y61 – ZD30 engine Fuel tank cover,686,Fuel Supply System,Pc,255262.00,45947.00,301209.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan Patrol Y61 – ZD30 engine,Fuel tank cover,Nissan Patrol Y61 – ZD30 engine Fuel tank cover,807,Electrical System,Pc,255262.00,45947.00,301209.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Ford vehicles – T6,Slave cylinder,Ford vehicles – T6 Slave cylinder,875,Brake System,PCS,470829.00,84749.00,555578.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Ford vehicles – T6,Slave cylinder,Ford vehicles – T6 Slave cylinder,1053,Transmission System,PCS,470829.00,84749.00,555578.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Ford vehicles – T6,Master cylinder,Ford vehicles – T6 Master cylinder,876,Brake System,PCS,511291.00,92032.00,603324.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Ford vehicles – T6,Master cylinder,Ford vehicles – T6 Master cylinder,1054,Transmission System,PCS,511291.00,92032.00,603324.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Ford vehicles – T6,Glow plug,Ford vehicles – T6 Glow plug,908,Engine Parts,PCS,109924.00,19786.00,129710.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Ford vehicles – T6,Glow plug,Ford vehicles – T6 Glow plug,942,Engine Parts,PCS,109924.00,19786.00,129710.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Ford vehicles – T6,Glow plug,Ford vehicles – T6 Glow plug,1122,Electrical System,PCS,109924.00,19786.00,129710.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Ford vehicles – T6,Heater plugs,Ford vehicles – T6 Heater plugs,941,Engine Parts,PCS,109924.00,19786.00,129710.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Ford vehicles – T6,Heater plugs,Ford vehicles – T6 Heater plugs,1141,Electrical System,PCS,109924.00,19786.00,129710.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Ford vehicles – T6,Sport lights,Ford vehicles – T6 Sport lights,1118,Electrical System,PCS,491397.00,88452.00,579849.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Ford vehicles – T6,Sport lights,Ford vehicles – T6 Sport lights,1173,Other Miscellaneous Parts,PCS,491397.00,88452.00,579849.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Ford vehicles – T6,Reflectors,Ford vehicles – T6 Reflectors,1169,Other Miscellaneous Parts,PCS,79800.00,14364.00,94164.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Ford vehicles – T6,Reflectors,Ford vehicles – T6 Reflectors,1194,Other Miscellaneous Parts,PCS,125630.00,22613.00,148243.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan vans,PUMP ASSY OIL D (Oil pump),Nissan vans PUMP ASSY OIL D (Oil pump),1283,Engine Components,PC,1105943.00,199070.00,1305012.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan vans,PUMP ASSY OIL D (Oil pump),Nissan vans PUMP ASSY OIL D (Oil pump),1312,Engine Oil System,PC,1043502.00,187830.00,1231333.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan vans,BOLT (Exhaust bolt),Nissan vans BOLT (Exhaust bolt),1323,Exhaust System,PC,7006.00,1261.00,8268.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
Nissan vans,BOLT (Exhaust bolt),Nissan vans BOLT (Exhaust bolt),1325,Exhaust System,PC,42038.00,7567.00,49605.00,same vehicle group + item name has multiple source variants,Choose the correct category/price variant before importing
