source_row,vehicle_group,source_full_item_name,source_item_name,system_category,source_item_group,source_unit,normalized_uom,item_code,item_name,catalog_type,stock_item,source_qty,source_exclusive,source_vat,source_inclusive,vat_arithmetic_delta,price_status,status,review_reason,dedup_key,source_section
4,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Pad Kit-disc (Brake pads front),Pad Kit-disc (Brake pads front),Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-PAD-KIT-DISC-BRAKE-PADS-FRONT,Nissan Navara – YD25 engine - Pad Kit-disc (Brake pads front),stock,1,1,567868.86,102216.39,670085.25,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,PAD KIT DISC BRAKE PADS FRONT,Brake System
5,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine SHOE SET-REAR (Brake shoes),SHOE SET-REAR (Brake shoes),Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-SHOE-SET-REAR-BRAKE-SHOES,Nissan Navara – YD25 engine - SHOE SET-REAR (Brake shoes),stock,1,1,952824.28,171508.37,1124332.65,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,SHOE SET REAR BRAKE SHOES,Brake System
6,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine BOOSTER ASSY MA (brake booster),BOOSTER ASSY MA (brake booster),Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BOOSTER-ASSY-MA-BRAKE-BOOSTER,Nissan Navara – YD25 engine - BOOSTER ASSY MA (brake booster),stock,1,1,4614183.09,830552.96,5444736.05,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BOOSTER ASSY MA BRAKE BOOSTER,Brake System
7,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Rotor Disc Brak (Front Rotor Discs),Rotor Disc Brak (Front Rotor Discs),Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-ROTOR-DISC-BRAK-FRONT-ROTOR-DISCS,Nissan Navara – YD25 engine - Rotor Disc Brak (Front Rotor Discs),stock,1,2,1612564.09,290261.54,1902825.63,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,ROTOR DISC BRAK FRONT ROTOR DISCS,Brake System
8,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Disc skimming,Disc skimming,Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-DISC-SKIMMING,Nissan Navara – YD25 engine - Disc skimming,service,0,2,46666.67,8400.00,55066.67,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,DISC SKIMMING,Brake System
9,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine DRUM 4X4 and hi (Brake drum),DRUM 4X4 and hi (Brake drum),Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-DRUM-4X4-AND-HI-BRAKE-DRUM,Nissan Navara – YD25 engine - DRUM 4X4 and hi (Brake drum),stock,1,2,1973482.40,355226.83,2328709.23,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,DRUM 4X4 AND HI BRAKE DRUM,Brake System
10,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Drum Skimming,Drum Skimming,Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-DRUM-SKIMMING,Nissan Navara – YD25 engine - Drum Skimming,service,0,2,46666.67,8400.00,55066.67,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,DRUM SKIMMING,Brake System
11,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine BOLT-PIN (Calipper bolts),BOLT-PIN (Calipper bolts),Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BOLT-PIN-CALIPPER-BOLTS,Nissan Navara – YD25 engine - BOLT-PIN (Calipper bolts),stock,1,4,171797.34,30923.52,202720.86,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BOLT PIN CALIPPER BOLTS,Brake System
12,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine CYL ASSY CLUTCH,CYL ASSY CLUTCH,Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-CYL-ASSY-CLUTCH,Nissan Navara – YD25 engine - CYL ASSY CLUTCH,stock,1,1,323925.75,58306.63,382232.39,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,CYL ASSY CLUTCH,Brake System
13,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine CYL ASSY-CLUTCH,CYL ASSY-CLUTCH,Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-CYL-ASSY-CLUTCH,Nissan Navara – YD25 engine - CYL ASSY-CLUTCH,stock,1,1,629650.21,113337.04,742987.25,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,CYL ASSY CLUTCH,Brake System
14,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine CALIPER ASSY-BR (Brake caliper),CALIPER ASSY-BR (Brake caliper),Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-CALIPER-ASSY-BR-BRAKE-CALIPER,Nissan Navara – YD25 engine - CALIPER ASSY-BR (Brake caliper),stock,1,1,2250113.53,405020.44,2655133.97,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,CALIPER ASSY BR BRAKE CALIPER,Brake System
15,Nissan Navara – YD25 engine,"Nissan Navara – YD25 engine CABLE COMPL - P (Hand brake cable, short)","CABLE COMPL - P (Hand brake cable, short)",Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-CABLE-COMPL-P-HAND-BRAKE-CABLE-SHORT,"Nissan Navara – YD25 engine - CABLE COMPL - P (Hand brake cable, short)",stock,1,1,878252.76,158085.50,1036338.26,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,CABLE COMPL P HAND BRAKE CABLE SHORT,Brake System
16,Nissan Navara – YD25 engine,"Nissan Navara – YD25 engine DVC ASSY-PKB  C (handbrake cable, long)","DVC ASSY-PKB  C (handbrake cable, long)",Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-DVC-ASSY-PKB-C-HANDBRAKE-CABLE-LONG,"Nissan Navara – YD25 engine - DVC ASSY-PKB  C (handbrake cable, long)",stock,1,1,853073.08,153553.15,1006626.23,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,DVC ASSY PKB C HANDBRAKE CABLE LONG,Brake System
17,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine PACK (brake shims),PACK (brake shims),Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-PACK-BRAKE-SHIMS,Nissan Navara – YD25 engine - PACK (brake shims),stock,1,4,132373.17,23827.17,156200.34,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,PACK BRAKE SHIMS,Brake System
18,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine SPACER VACUUM BOOST (brake servo bolt),SPACER VACUUM BOOST (brake servo bolt),Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-SPACER-VACUUM-BOOST-BRAKE-SERVO-BOLT,Nissan Navara – YD25 engine - SPACER VACUUM BOOST (brake servo bolt),stock,1,1,34877.45,6277.94,41155.39,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,SPACER VACUUM BOOST BRAKE SERVO BOLT,Brake System
19,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Brake pad plates,Brake pad plates,Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BRAKE-PAD-PLATES,Nissan Navara – YD25 engine - Brake pad plates,stock,1,1,637003.38,114660.61,751663.99,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BRAKE PAD PLATES,Brake System
20,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine ABS sensor,ABS sensor,Brake System,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-ABS-SENSOR,Nissan Navara – YD25 engine - ABS sensor,stock,1,1,2627851.86,473013.33,3100865.19,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,ABS SENSOR,Brake System
23,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Drive shaft boot,Drive shaft boot,Axle,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-DRIVE-SHAFT-BOOT,Nissan Navara – YD25 engine - Drive shaft boot,stock,1,1,522312.55,94016.26,616328.81,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,DRIVE SHAFT BOOT,Axle
24,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine SEAL HUB FRONT (Front grease seals),SEAL HUB FRONT (Front grease seals),Axle,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-SEAL-HUB-FRONT-FRONT-GREASE-SEALS,Nissan Navara – YD25 engine - SEAL HUB FRONT (Front grease seals),stock,1,2,132114.17,23780.55,155894.72,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,SEAL HUB FRONT FRONT GREASE SEALS,Axle
25,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine BEARING ASSY-FR (Wheel bearings inner),BEARING ASSY-FR (Wheel bearings inner),Axle,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BEARING-ASSY-FR-WHEEL-BEARINGS-INNER,Nissan Navara – YD25 engine - BEARING ASSY-FR (Wheel bearings inner),stock,1,2,402587.07,72465.67,475052.74,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BEARING ASSY FR WHEEL BEARINGS INNER,Axle
26,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Bearing KLM3008 (Wheel bearings outer),Bearing KLM3008 (Wheel bearings outer),Axle,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BEARING-KLM3008-WHEEL-BEARINGS-OUTER,Nissan Navara – YD25 engine - Bearing KLM3008 (Wheel bearings outer),stock,1,2,896828.47,161429.12,1058257.59,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BEARING KLM3008 WHEEL BEARINGS OUTER,Axle
27,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine SHAFT ASSY FRON (Drive shaft),SHAFT ASSY FRON (Drive shaft),Axle,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-SHAFT-ASSY-FRON-DRIVE-SHAFT,Nissan Navara – YD25 engine - SHAFT ASSY FRON (Drive shaft),stock,1,2,6943202.53,1249776.46,8192978.99,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,SHAFT ASSY FRON DRIVE SHAFT,Axle
28,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine ORNAMENT ROAD C (Hub cap),ORNAMENT ROAD C (Hub cap),Axle,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-ORNAMENT-ROAD-C-HUB-CAP,Nissan Navara – YD25 engine - ORNAMENT ROAD C (Hub cap),stock,1,2,159941.31,28789.44,188730.75,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,ORNAMENT ROAD C HUB CAP,Axle
29,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine LEVER-COMPLETE (*Accelerator pedal),LEVER-COMPLETE (*Accelerator pedal),Axle,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-LEVER-COMPLETE-ACCELERATOR-PEDAL,Nissan Navara – YD25 engine - LEVER-COMPLETE (*Accelerator pedal),stock,1,1,2305940.47,415069.28,2721009.75,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,LEVER COMPLETE ACCELERATOR PEDAL,Axle
30,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine CYL ASSY-RR WHE (Wheel cylinder),CYL ASSY-RR WHE (Wheel cylinder),Axle,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-CYL-ASSY-RR-WHE-WHEEL-CYLINDER,Nissan Navara – YD25 engine - CYL ASSY-RR WHE (Wheel cylinder),stock,1,2,878785.13,158181.32,1036966.45,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,CYL ASSY RR WHE WHEEL CYLINDER,Axle
31,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Nut (Wheel lock nut),Nut (Wheel lock nut),Axle,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-NUT-WHEEL-LOCK-NUT,Nissan Navara – YD25 engine - Nut (Wheel lock nut),stock,1,1,112661.07,20278.99,132940.06,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,NUT WHEEL LOCK NUT,Axle
32,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Wash-lock Wheel (Wheel hub washers),Wash-lock Wheel (Wheel hub washers),Axle,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-WASH-LOCK-WHEEL-WHEEL-HUB-WASHERS,Nissan Navara – YD25 engine - Wash-lock Wheel (Wheel hub washers),stock,1,2,79021.02,14223.78,93244.80,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,WASH LOCK WHEEL WHEEL HUB WASHERS,Axle
33,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Scr-truss HD (Wheel hub screw),Scr-truss HD (Wheel hub screw),Axle,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-SCR-TRUSS-HD-WHEEL-HUB-SCREW,Nissan Navara – YD25 engine - Scr-truss HD (Wheel hub screw),stock,1,4,20776.83,3739.83,24516.66,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,SCR TRUSS HD WHEEL HUB SCREW,Axle
34,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine COMP BRG NEEDLE (Wheel hub lock nut),COMP BRG NEEDLE (Wheel hub lock nut),Axle,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-COMP-BRG-NEEDLE-WHEEL-HUB-LOCK-NUT,Nissan Navara – YD25 engine - COMP BRG NEEDLE (Wheel hub lock nut),stock,1,2,162358.56,29224.54,191583.10,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,COMP BRG NEEDLE WHEEL HUB LOCK NUT,Axle
35,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine HUB ASSY-AUTO F (Free running hub),HUB ASSY-AUTO F (Free running hub),Axle,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-HUB-ASSY-AUTO-F-FREE-RUNNING-HUB,Nissan Navara – YD25 engine - HUB ASSY-AUTO F (Free running hub),stock,1,2,4430817.47,797547.14,5228364.61,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,HUB ASSY AUTO F FREE RUNNING HUB,Axle
38,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine BELT-ALTNTR,BELT-ALTNTR,Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BELT-ALTNTR,Nissan Navara – YD25 engine - BELT-ALTNTR,stock,1,1,322957.09,58132.28,381089.37,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BELT ALTNTR,Engine Components
39,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine BELT-COMPRESSOR,BELT-COMPRESSOR,Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BELT-COMPRESSOR,Nissan Navara – YD25 engine - BELT-COMPRESSOR,stock,1,1,81236.83,14622.63,95859.46,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BELT COMPRESSOR,Engine Components
40,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine BELT-POWER STEE,BELT-POWER STEE,Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-BELT-POWER-STEE,Nissan Navara – YD25 engine - BELT-POWER STEE,stock,1,1,65049.90,11708.98,76758.88,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,BELT POWER STEE,Engine Components
41,Nissan Navara – YD25 engine,"Nissan Navara – YD25 engine GUIDE-CHAIN TEN (Guide chain tensioner, small)","GUIDE-CHAIN TEN (Guide chain tensioner, small)",Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-GUIDE-CHAIN-TEN-GUIDE-CHAIN-TENSIONER-SMALL,"Nissan Navara – YD25 engine - GUIDE-CHAIN TEN (Guide chain tensioner, small)",stock,1,1,38460.15,6922.83,45382.98,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,GUIDE CHAIN TEN GUIDE CHAIN TENSIONER SMALL,Engine Components
42,Nissan Navara – YD25 engine,"Nissan Navara – YD25 engine GUIDE-CHAIN TEN (Guide chain tensioner, big)","GUIDE-CHAIN TEN (Guide chain tensioner, big)",Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-GUIDE-CHAIN-TEN-GUIDE-CHAIN-TENSIONER-BIG,"Nissan Navara – YD25 engine - GUIDE-CHAIN TEN (Guide chain tensioner, big)",stock,1,1,61337.70,11040.79,72378.49,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,GUIDE CHAIN TEN GUIDE CHAIN TENSIONER BIG,Engine Components
43,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine CHAIN-TIMING CA (Timing chain loose end),CHAIN-TIMING CA (Timing chain loose end),Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-CHAIN-TIMING-CA-TIMING-CHAIN-LOOSE-END,Nissan Navara – YD25 engine - CHAIN-TIMING CA (Timing chain loose end),stock,1,1,565837.71,101850.79,667688.50,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,CHAIN TIMING CA TIMING CHAIN LOOSE END,Engine Components
44,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine CHAIN-TIMING CA (Timing chain tension end),CHAIN-TIMING CA (Timing chain tension end),Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-CHAIN-TIMING-CA-TIMING-CHAIN-TENSION-END,Nissan Navara – YD25 engine - CHAIN-TIMING CA (Timing chain tension end),stock,1,1,430212.78,77438.30,507651.08,0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,CHAIN TIMING CA TIMING CHAIN TENSION END,Engine Components
45,Nissan Navara – YD25 engine,Nissan Navara – YD25 engine Tension Chain,Tension Chain,Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-TENSION-CHAIN,Nissan Navara – YD25 engine - Tension Chain,stock,1,1,329321.41,59277.85,388599.26,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,TENSION CHAIN,Engine Components
46,Nissan Navara – YD25 engine,"Nissan Navara – YD25 engine SEAL-OIL CRANKS (Crankshaft oil seal, front)","SEAL-OIL CRANKS (Crankshaft oil seal, front)",Engine Components,not supplied by workbook,PC,PCS,ASM-NISSAN-NAVARA-YD25-ENGINE-SEAL-OIL-CRANKS-CRANKSHAFT-OIL-SEAL-FRONT,"Nissan Navara – YD25 engine - SEAL-OIL CRANKS (Crankshaft oil seal, front)",stock,1,1,98531.68,17735.70,116267.38,-0.00,not_imported,ignored_previous_package_duplicate,same normalized source item name exists in previous catalog_audit.csv,SEAL OIL CRANKS CRANKSHAFT OIL SEAL FRONT,Engine Components
