Vehicle Group,full item name,System Category,Item Name,item group,Unit,Price VAT tax Excl (source),VAT tax,price VAT tax Incl (source)
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Pad Kit-disc (Brake pads front),Brake System,Pad Kit-disc (Brake pads front),Auto Parts,PC,"739,947.00","133,191.00","873,138.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine SHOE SET-REAR (Brake shoes),Brake System,SHOE SET-REAR (Brake shoes),Auto Parts,PC,"696,803.00","125,424.00","822,227.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BOOSTER ASSY MA (brake booster),Brake System,BOOSTER ASSY MA (brake booster),Auto Parts,PC,"5,998,438.00","1,079,719.00","7,078,157.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Rotor Disc Brak (Front Rotor Discs),Brake System,Rotor Disc Brak (Front Rotor Discs),Auto Parts,Set,"2,096,333.00","377,340.00","2,473,673.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Disc skimming,Brake System,Disc skimming,Auto Parts,Set,"247,419.00","44,535.00","291,955.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine DRUM 4X4 and hi (Brake drum),Brake System,DRUM 4X4 and hi (Brake drum),Auto Parts,PC,"2,565,527.00","461,795.00","3,027,322.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Drum Skimming,Brake System,Drum Skimming,Auto Parts,Set,"247,419.00","44,535.00","291,955.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BOLT-PIN (Calipper bolts),Brake System,BOLT-PIN (Calipper bolts),Auto Parts,Set,"223,337.00","40,201.00","263,537.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CYL ASSY CLUTCH,Brake System,CYL ASSY CLUTCH,Auto Parts,PC,"421,103.00","75,799.00","496,902.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CYL ASSY-CLUTCH,Brake System,CYL ASSY-CLUTCH,Auto Parts,PC,"818,545.00","147,338.00","965,883.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CALIPER ASSY-BR (Brake caliper),Brake System,CALIPER ASSY-BR (Brake caliper),Auto Parts,PC,"2,925,148.00","526,527.00","3,451,674.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine CABLE COMPL - P (Hand brake cable, short)",Brake System,"CABLE COMPL - P (Hand brake cable, short)",Auto Parts,PC,"1,141,729.00","205,511.00","1,347,240.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine DVC ASSY-PKB C (handbrake cable, long)",Brake System,"DVC ASSY-PKB C (handbrake cable, long)",Auto Parts,PC,"1,108,995.00","199,619.00","1,308,614.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine PACK (brake shims),Brake System,PACK (brake shims),Auto Parts,PC,"172,085.00","30,975.00","203,060.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine SPACER VACUUM BOOST (brake servo bolt),Brake System,SPACER VACUUM BOOST (brake servo bolt),Auto Parts,PC,"45,341.00","8,161.00","53,502.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Brake pad plates,Brake System,Brake pad plates,Auto Parts,Set,"828,104.00","149,059.00","977,163.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine ABS sensor,Brake System,ABS sensor,Auto Parts,PC,"3,416,207.00","614,917.00","4,031,125.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Drive shaft boot,Axle,Drive shaft boot,Auto Parts,PC,"679,006.00","122,221.00","801,227.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine SEAL HUB FRONT (Front grease seals),Axle,SEAL HUB FRONT (Front grease seals),Auto Parts,Set,"171,748.00","30,915.00","202,663.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BEARING ASSY-FR (Wheel bearings inner),Axle,BEARING ASSY-FR (Wheel bearings inner),Auto Parts,Set,"523,363.00","94,205.00","617,569.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Bearing KLM3008 (Wheel bearings outer),Axle,Bearing KLM3008 (Wheel bearings outer),Auto Parts,Set,"1,165,877.00","209,858.00","1,375,735.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine SHAFT ASSY FRON (Drive shaft),Axle,SHAFT ASSY FRON (Drive shaft),Auto Parts,Set,"9,026,163.00","1,624,709.00","10,650,873.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine ORNAMENT ROAD C (Hub cap),Axle,ORNAMENT ROAD C (Hub cap),Auto Parts,PC,"207,924.00","37,426.00","245,350.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine LEVER-COMPLETE (*Accelerator pedal),Axle,LEVER-COMPLETE (*Accelerator pedal),Auto Parts,PC,"2,997,723.00","539,590.00","3,537,313.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CYL ASSY-RR WHE (Wheel cylinder),Axle,CYL ASSY-RR WHE (Wheel cylinder),Auto Parts,Set,"1,142,421.00","205,636.00","1,348,056.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Nut (Wheel lock nut),Axle,Nut (Wheel lock nut),Auto Parts,PC,"146,459.00","26,363.00","172,822.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Wash-lock Wheel (Wheel hub washers),Axle,Wash-lock Wheel (Wheel hub washers),Auto Parts,PC,"102,727.00","18,491.00","121,218.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Scr-truss HD (Wheel hub screw),Axle,Scr-truss HD (Wheel hub screw),Auto Parts,Set,"27,010.00","4,862.00","31,872.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine COMP BRG NEEDLE (Wheel hub lock nut),Axle,COMP BRG NEEDLE (Wheel hub lock nut),Auto Parts,PC,"211,066.00","37,992.00","249,058.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine HUB ASSY-AUTO F (Free running hub),Axle,HUB ASSY-AUTO F (Free running hub),Auto Parts,Set,"5,760,063.00","1,036,811.00","6,796,874.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BELT-ALTNTR,Engine Components,BELT-ALTNTR,Auto Parts,PC,"419,844.00","75,572.00","495,416.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BELT-COMPRESSOR,Engine Components,BELT-COMPRESSOR,Auto Parts,PC,"105,608.00","19,009.00","124,617.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BELT-POWER STEE,Engine Components,BELT-POWER STEE,Auto Parts,PC,"84,565.00","15,222.00","99,787.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine GUIDE-CHAIN TEN (Guide chain tensioner, small)",Engine Components,"GUIDE-CHAIN TEN (Guide chain tensioner, small)",Auto Parts,PC,"49,998.00","9,000.00","58,998.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine GUIDE-CHAIN TEN (Guide chain tensioner, big)",Engine Components,"GUIDE-CHAIN TEN (Guide chain tensioner, big)",Auto Parts,PC,"79,739.00","14,353.00","94,092.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CHAIN-TIMING CA (Timing chain loose end),Engine Components,CHAIN-TIMING CA (Timing chain loose end),Auto Parts,PC,"735,589.00","132,406.00","867,995.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CHAIN-TIMING CA (Timing chain tension end),Engine Components,CHAIN-TIMING CA (Timing chain tension end),Auto Parts,PC,"559,277.00","100,670.00","659,946.00"
